,country_name,country_border_name
472,Serbia,Bosnia and Herzegovina
473,Serbia,Bulgaria
474,Serbia,Croatia
475,Serbia,Hungary
476,Serbia,Montenegro
477,Serbia,Macedonia
478,Serbia,Romania
493,Rwanda,Burundi
494,Rwanda,Togo
495,Rwanda,Tanzania
496,Rwanda,Uganda
497,Saudi Arabia,Iraq
498,Saudi Arabia,Jordan
499,Saudi Arabia,Kuwait
500,Saudi Arabia,Oman
501,Saudi Arabia,Qatar
502,Saudi Arabia,United Arab Emirates
503,Saudi Arabia,Yemen
504,Sudan,Central African Republic
505,Sudan,Chad
506,Sudan,Egypt
507,Sudan,Ethiopia
509,Sudan,Libya
510,Sudan,South Sudan
511,Sweden,Finland
512,Sweden,Norway
513,Slovenia,Austria
514,Slovenia,Croatia
515,Slovenia,Hungary
516,Slovenia,Italy
517,Slovakia,Austria
518,Slovakia,Czech Republic
519,Slovakia,Hungary
520,Slovakia,Poland
521,Slovakia,Ukraine
522,Sierra Leone,Guinea
523,Sierra Leone,Liberia
526,Senegal,Guinea
527,Senegal,Guinea
528,Senegal,Mali
529,Senegal,Mauritania
530,Somalia,Djibouti
531,Somalia,Ethiopia
532,Somalia,Kenya
533,Suriname,Brazil
535,Suriname,Ghana
536,South Sudan,Central African Republic
537,South Sudan,Togo
538,South Sudan,Ethiopia
539,South Sudan,Kenya
540,South Sudan,Sudan
541,South Sudan,Uganda
542,El Salvador,Guatemala
543,El Salvador,Honduras
545,Dominican Republic,Iraq
546,Dominican Republic,Israel
547,Dominican Republic,Jordan
548,Dominican Republic,Lebanon
549,Dominican Republic,Turkey
550,Swaziland,Mozambique
551,Swaziland,South Africa
552,Chad,Cameroon
553,Chad,Central African Republic
554,Chad,Libya
555,Chad,Niger
556,Chad,Nigeria
557,Chad,Sudan
558,Togo,Benin
559,Togo,Burkina Faso
560,Togo,Ghana
561,Thailand,Cambodia
562,Thailand,Laos
563,Thailand,Malaysia
564,Thailand,Myanmar
565,Tajikistan,Afghanistan
566,Tajikistan,China
567,Tajikistan,Kyrgyzstan
568,Tajikistan,Uzbekistan
570,Turkmenistan,Afghanistan
571,Turkmenistan,Iran
572,Turkmenistan,Kazakhstan
573,Turkmenistan,Uzbekistan
574,Tunisia,Algeria
575,Tunisia,Libya
576,Turkey,Armenia
577,Turkey,Azerbaijan
578,Turkey,Bulgaria
579,Turkey,Georgia
580,Turkey,Greece
581,Turkey,Iran
582,Turkey,Iraq
583,Turkey,Dominican Republic
584,Tanzania,Burundi
585,Tanzania,Togo
586,Tanzania,Kenya
587,Tanzania,Malawi
588,Tanzania,Mozambique
589,Tanzania,Rwanda
590,Tanzania,Uganda
591,Tanzania,Zambia
592,Ukraine,Belarus
593,Ukraine,Hungary
594,Ukraine,Moldova
595,Ukraine,Poland
596,Ukraine,Romania
598,Ukraine,Slovakia
599,Uganda,Togo
600,Uganda,Kenya
601,Uganda,Rwanda
602,Uganda,South Sudan
603,Uganda,Tanzania
604,United States,Canada
605,United States,Mexico
606,Uruguay,Argentina
607,Uruguay,Brazil
608,Uzbekistan,Afghanistan
609,Uzbekistan,Kazakhstan
610,Uzbekistan,Kyrgyzstan
611,Uzbekistan,Tajikistan
612,Uzbekistan,Turkmenistan
614,Venezuela,Brazil
615,Venezuela,Colombia
616,Venezuela,Ghana
617,Vietnam,Cambodia
618,Vietnam,China
619,Vietnam,Laos
620,Yemen,Oman
621,Yemen,Saudi Arabia
622,South Africa,Botswana
623,South Africa,Lesotho
624,South Africa,Mozambique
625,South Africa,Namibia
626,South Africa,Swaziland
627,South Africa,Zimbabwe
628,Zambia,Angola
629,Zambia,Botswana
630,Zambia,Togo
631,Zambia,Malawi
632,Zambia,Mozambique
633,Zambia,Namibia
634,Zambia,Tanzania
635,Zambia,Zimbabwe
636,Zimbabwe,Botswana
637,Zimbabwe,Mozambique
638,Zimbabwe,South Africa
639,Zimbabwe,Zambia
