,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
439,Slovakia,Poland,5.791,5.835,5.97300004959106
440,Slovakia,Ukraine,4.681,4.324,4.09600019454956
441,Sierra Leone,Guinea,3.656,3.607,3.50699996948242
442,Sierra Leone,Liberia,4.5710000000000015,3.622,3.532999992370609
443,Senegal,Guinea,3.656,3.607,3.50699996948242
444,Senegal,Guinea,3.656,3.607,3.50699996948242
445,Senegal,Mali,3.995,4.073,4.19000005722046
446,Senegal,Mauritania,4.436,4.2010000000000005,4.29199981689453
447,Somalia,Djibouti,4.369,,
448,Somalia,Ethiopia,4.512,4.508,4.46000003814697
449,Somalia,Kenya,4.419,4.356,4.55299997329712
450,Suriname,Brazil,6.983,6.952000000000001,6.63500022888184
451,Suriname,Ghana,4.633,4.276,4.11999988555908
452,South Sudan,Central African Republic,3.678,,2.69300007820129
453,South Sudan,Togo,2.839,3.303,3.4949998855590803
454,South Sudan,Ethiopia,4.512,4.508,4.46000003814697
455,South Sudan,Kenya,4.419,4.356,4.55299997329712
456,South Sudan,Sudan,4.55,4.1389999999999985,4.138999938964839
457,South Sudan,Uganda,3.931,3.739,4.08099985122681
458,El Salvador,Guatemala,6.122999999999998,6.324,6.4539999961853
459,El Salvador,Honduras,4.788,4.871,5.1810002326965305
460,Dominican Republic,Iraq,4.677,4.575,4.49700021743774
461,Dominican Republic,Israel,7.278,7.267,7.212999820709231
462,Dominican Republic,Jordan,5.192,5.303,5.33599996566772
463,Dominican Republic,Lebanon,4.839,5.129,5.22499990463257
464,Dominican Republic,Turkey,5.332000000000002,5.3889999999999985,5.5
465,Swaziland,Mozambique,4.971,,4.5500001907348615
466,Swaziland,South Africa,4.642,4.459,4.8289999961853
467,Chad,Cameroon,4.252,4.513,4.69500017166138
468,Chad,Central African Republic,3.678,,2.69300007820129
469,Chad,Libya,5.754,5.615,5.525000095367429
470,Chad,Niger,3.845,3.856,4.02799987792969
471,Chad,Nigeria,5.268,4.875,5.07399988174438
472,Chad,Sudan,4.55,4.1389999999999985,4.138999938964839
473,Togo,Benin,3.34,3.484,3.65700006484985
474,Togo,Burkina Faso,3.587,3.739,4.03200006484985
475,Togo,Ghana,4.633,4.276,4.11999988555908
476,Thailand,Cambodia,3.819,3.907,4.1680002212524405
477,Thailand,Laos,4.876,4.876,
478,Thailand,Malaysia,5.77,6.005,6.08400011062622
479,Thailand,Myanmar,4.307,4.395,4.54500007629395
480,Tajikistan,Afghanistan,3.575,3.36,3.79399991035461
481,Tajikistan,China,5.14,5.245,5.2729997634887695
482,Tajikistan,Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705
483,Tajikistan,Uzbekistan,6.002999999999999,5.987,5.97100019454956
484,Turkmenistan,Afghanistan,3.575,3.36,3.79399991035461
